model_variant,epoch,train_loss,train_physics_loss,val_score,val_f1,val_ece,val_log_loss,val_physics_mae
baseline,1,1.0991539061069489,0.0,0.3046875,0.15568862275449102,0.04468894004821777,1.100200883586849,
baseline,2,1.095542423427105,0.0,0.4140625,0.3351263809358551,0.06013759970664978,1.0949375310200877,
baseline,3,1.0732538253068924,0.0,0.296875,0.23781420765027325,0.1269804835319519,1.0537579765255263,
baseline,4,0.9492203406989574,0.0,0.72265625,0.7164653164054399,0.2233305275440216,0.8162584956358977,
multimodal_ssl,1,1.0727539360523224,0.0,0.99609375,0.995904471161698,0.6339622139930725,1.0171033774889242,
multimodal_ssl,2,0.8252449370920658,0.0,0.984375,0.9849503276262946,0.38010716438293457,0.5205983347523164,
multimodal_ssl,3,0.2719681765884161,0.0,1.0,1.0,0.05668143182992935,0.06024582192967186,
multimodal_ssl,4,0.02666441281326115,0.0,1.0,1.0,0.003754734992980957,0.0037765092902961594,
physics_aware_fm,1,1.142782673239708,0.25560043612495065,0.78515625,0.764507787599976,0.4233632981777191,1.022326243262882,0.2134021669626236
physics_aware_fm,2,0.9021775387227535,0.03655428858473897,0.953125,0.9522417674128203,0.41901838779449463,0.6397737593921848,0.15679427981376648
physics_aware_fm,3,0.38144547771662474,0.03453916951548308,1.0,1.0,0.10090611129999161,0.10795571369093811,0.13350310921669006
physics_aware_fm,4,0.057594785233959556,0.032204476185142994,1.0,1.0,0.005354106426239014,0.005379286795364408,0.13354453444480896
